BINOMIAL,LEGEND
Mergus octosetaceus,Possibly Extinct
Calyptura cristata,Possibly Extinct
Nemosia rourei,Possibly Extinct
Merulaxis stresemanni,Possibly Extinct
Eriocnemis nigrivestis,Possibly Extinct
Cinclodes aricomae,Possibly Extinct
Crax alberti,Possibly Extinct
Lipaugus weberi,Possibly Extinct
Podiceps taczanowskii,Possibly Extinct
Columbina cyanopis,Possibly Extinct
Hapalopsittaca fuertesi,Possibly Extinct
Terenura sicki,Possibly Extinct
Anodorhynchus hyacinthinus,Possibly Extinct
Sephanoides fernandensis,Possibly Extinct